tlsf_file,trial,sample_size,accuracy
tsl_paper_ActionConverter.tlsf,1,5568.0,0.0
tsl_paper_ActionConverter.tlsf,2,5640.0,0.0
tsl_paper_ActionConverter.tlsf,3,5559.0,0.0
tsl_paper_ActionConverter.tlsf,4,5578.0,0.0
tsl_paper_ActionConverter.tlsf,5,5511.0,0.0
tsl_paper_ActionConverter.tlsf,6,5567.0,0.0
tsl_paper_Automata.tlsf,1,1972.0,100.0
tsl_paper_Automata.tlsf,2,1917.0,100.0
tsl_paper_Automata.tlsf,3,1902.0,100.0
tsl_paper_Automata.tlsf,4,1947.0,100.0
tsl_paper_Automata.tlsf,5,1900.0,100.0
tsl_paper_Automata.tlsf,6,1944.0,100.0
tsl_paper_Automata16S.tlsf,1,,0.0
tsl_paper_Automata16S.tlsf,2,,0.0
tsl_paper_Automata16S.tlsf,3,,0.0
tsl_paper_Automata16S.tlsf,4,,0.0
tsl_paper_Automata16S.tlsf,5,,0.0
tsl_paper_Automata16S.tlsf,6,,0.0
tsl_paper_Automata32S.tlsf,1,,0.0
tsl_paper_Automata32S.tlsf,2,,0.0
tsl_paper_Automata32S.tlsf,3,,0.0
tsl_paper_Automata32S.tlsf,4,,0.0
tsl_paper_Automata32S.tlsf,5,,0.0
tsl_paper_Automata32S.tlsf,6,,0.0
tsl_paper_Button.tlsf,1,899.0,0.0
tsl_paper_Button.tlsf,2,938.0,0.0
tsl_paper_Button.tlsf,3,886.0,0.0
tsl_paper_Button.tlsf,4,906.0,0.0
tsl_paper_Button.tlsf,5,889.0,0.0
tsl_paper_Button.tlsf,6,887.0,0.0
tsl_paper_Cockpitboard.tlsf,1,,0.0
tsl_paper_Cockpitboard.tlsf,2,,0.0
tsl_paper_Cockpitboard.tlsf,3,,0.0
tsl_paper_Cockpitboard.tlsf,4,,0.0
tsl_paper_Cockpitboard.tlsf,5,,0.0
tsl_paper_Cockpitboard.tlsf,6,,0.0
tsl_paper_EnemeyModule.tlsf,1,1763.0,0.0
tsl_paper_EnemeyModule.tlsf,2,1808.0,0.0
tsl_paper_EnemeyModule.tlsf,3,1754.0,0.0
tsl_paper_EnemeyModule.tlsf,4,1864.0,0.0
tsl_paper_EnemeyModule.tlsf,5,1801.0,0.0
tsl_paper_EnemeyModule.tlsf,6,1848.0,0.0
tsl_paper_EscalatorBidirectional.tlsf,1,37293.0,0.0
tsl_paper_EscalatorBidirectional.tlsf,2,37264.0,0.0
tsl_paper_EscalatorBidirectional.tlsf,3,37305.0,0.0
tsl_paper_EscalatorBidirectional.tlsf,4,37279.0,0.0
tsl_paper_EscalatorBidirectional.tlsf,5,37386.0,0.0
tsl_paper_EscalatorBidirectional.tlsf,6,37253.0,0.0
tsl_paper_EscalatorBidirectionalInit.tlsf,1,53731.0,0.0
tsl_paper_EscalatorBidirectionalInit.tlsf,2,53665.0,0.0
tsl_paper_EscalatorBidirectionalInit.tlsf,3,53674.0,0.0
tsl_paper_EscalatorBidirectionalInit.tlsf,4,53662.0,0.0
tsl_paper_EscalatorBidirectionalInit.tlsf,5,53647.0,0.0
tsl_paper_EscalatorBidirectionalInit.tlsf,6,53736.0,0.0
tsl_paper_EscalatorCounting.tlsf,1,3699.0,100.0
tsl_paper_EscalatorCounting.tlsf,2,3669.0,100.0
