tlsf_file,trial,sample_size,accuracy
sweap_arbiter-with-failure-real.tlsf,1,155516.0,100.0
sweap_arbiter-with-failure-real.tlsf,2,154502.0,100.0
sweap_arbiter-with-failure-real.tlsf,3,155012.0,100.0
sweap_arbiter-with-failure-real.tlsf,4,155001.0,100.0
sweap_arbiter-with-failure-real.tlsf,5,156575.0,100.0
sweap_arbiter-with-failure-real.tlsf,6,155611.0,100.0
sweap_batch-arbiter-real.tlsf,1,333801.0,100.0
sweap_batch-arbiter-real.tlsf,2,333819.0,100.0
sweap_batch-arbiter-real.tlsf,3,333593.0,100.0
sweap_batch-arbiter-real.tlsf,4,333655.0,100.0
sweap_batch-arbiter-real.tlsf,5,334597.0,100.0
sweap_batch-arbiter-real.tlsf,6,333470.0,100.0
sweap_box-limited-real.tlsf,1,6556.0,100.0
sweap_box-limited-real.tlsf,2,6603.0,100.0
sweap_box-limited-real.tlsf,3,6670.0,100.0
sweap_box-limited-real.tlsf,4,6535.0,100.0
sweap_box-limited-real.tlsf,5,6638.0,100.0
sweap_box-limited-real.tlsf,6,6573.0,100.0
sweap_box-real.tlsf,1,268126.0,100.0
sweap_box-real.tlsf,2,268202.0,100.0
sweap_box-real.tlsf,3,268247.0,100.0
sweap_box-real.tlsf,4,268291.0,100.0
sweap_box-real.tlsf,5,270457.0,100.0
sweap_box-real.tlsf,6,268483.0,100.0
sweap_buffer-storage-real.tlsf,1,,0.0
sweap_buffer-storage-real.tlsf,2,,0.0
sweap_buffer-storage-real.tlsf,3,,0.0
sweap_buffer-storage-real.tlsf,4,,0.0
sweap_buffer-storage-real.tlsf,5,,0.0
sweap_buffer-storage-real.tlsf,6,,0.0
sweap_precise-reachability-real.tlsf,1,599716.0,88.2
sweap_precise-reachability-real.tlsf,2,599939.0,88.4
sweap_precise-reachability-real.tlsf,3,531393.0,100.0
sweap_precise-reachability-real.tlsf,4,531814.0,100.0
sweap_precise-reachability-real.tlsf,5,665166.0,74.8
sweap_precise-reachability-real.tlsf,6,596880.0,90.5
sweap_robot-cat-real-1d-real.tlsf,1,,0.0
sweap_robot-cat-real-1d-real.tlsf,2,,0.0
sweap_robot-cat-real-1d-real.tlsf,3,,0.0
sweap_robot-cat-real-1d-real.tlsf,4,,0.0
sweap_robot-cat-real-1d-real.tlsf,5,,0.0
sweap_robot-cat-real-1d-real.tlsf,6,,0.0
sweap_robot-grid-commute-1d-real.tlsf,1,,0.0
sweap_robot-grid-commute-1d-real.tlsf,2,,0.0
sweap_robot-grid-commute-1d-real.tlsf,3,,0.0
sweap_robot-grid-commute-1d-real.tlsf,4,,0.0
sweap_robot-grid-commute-1d-real.tlsf,5,,0.0
sweap_robot-grid-commute-1d-real.tlsf,6,,0.0
sweap_robot-grid-reach-1d-real.tlsf,1,135437.0,100.0
sweap_robot-grid-reach-1d-real.tlsf,2,269793.0,100.0
sweap_robot-grid-reach-1d-real.tlsf,3,135622.0,100.0
sweap_robot-grid-reach-1d-real.tlsf,4,135545.0,100.0
sweap_robot-grid-reach-1d-real.tlsf,5,135517.0,100.0
