tlsf_file,trial,sample_size,accuracy
amba_amba_decomposed_amba_decomposed_decode.tlsf,1,1839.0,100.0
amba_amba_decomposed_amba_decomposed_decode.tlsf,2,1870.0,100.0
amba_amba_decomposed_amba_decomposed_decode.tlsf,3,1802.0,100.0
amba_amba_decomposed_amba_decomposed_decode.tlsf,4,1835.0,100.0
amba_amba_decomposed_amba_decomposed_decode.tlsf,5,1820.0,100.0
amba_amba_decomposed_amba_decomposed_decode.tlsf,6,1793.0,100.0
amba_amba_decomposed_amba_decomposed_shift.tlsf,1,1885.0,100.0
amba_amba_decomposed_amba_decomposed_shift.tlsf,2,1851.0,100.0
amba_amba_decomposed_amba_decomposed_shift.tlsf,3,1858.0,100.0
amba_amba_decomposed_amba_decomposed_shift.tlsf,4,1885.0,100.0
amba_amba_decomposed_amba_decomposed_shift.tlsf,5,1869.0,100.0
amba_amba_decomposed_amba_decomposed_shift.tlsf,6,1780.0,100.0
amba_amba_decomposed_amba_decomposed_tburst4.tlsf,1,7513.0,100.0
amba_amba_decomposed_amba_decomposed_tburst4.tlsf,2,7696.0,100.0
amba_amba_decomposed_amba_decomposed_tburst4.tlsf,3,7657.0,100.0
amba_amba_decomposed_amba_decomposed_tburst4.tlsf,4,7512.0,100.0
amba_amba_decomposed_amba_decomposed_tburst4.tlsf,5,7554.0,100.0
amba_amba_decomposed_amba_decomposed_tburst4.tlsf,6,7598.0,100.0
amba_amba_decomposed_amba_decomposed_tincr.tlsf,1,8606.0,100.0
amba_amba_decomposed_amba_decomposed_tincr.tlsf,2,8627.0,100.0
amba_amba_decomposed_amba_decomposed_tincr.tlsf,3,8580.0,100.0
amba_amba_decomposed_amba_decomposed_tincr.tlsf,4,8574.0,100.0
amba_amba_decomposed_amba_decomposed_tincr.tlsf,5,8630.0,100.0
amba_amba_decomposed_amba_decomposed_tincr.tlsf,6,8674.0,100.0
amba_amba_decomposed_amba_decomposed_tsingle.tlsf,1,6520.0,100.0
amba_amba_decomposed_amba_decomposed_tsingle.tlsf,2,6475.0,100.0
amba_amba_decomposed_amba_decomposed_tsingle.tlsf,3,6498.0,100.0
amba_amba_decomposed_amba_decomposed_tsingle.tlsf,4,6539.0,100.0
amba_amba_decomposed_amba_decomposed_tsingle.tlsf,5,6534.0,100.0
amba_amba_decomposed_amba_decomposed_tsingle.tlsf,6,6523.0,100.0
amba_amba_decomposed_parametric_amba_decomposed_arbiter.tlsf,1,148942.0,100.0
amba_amba_decomposed_parametric_amba_decomposed_arbiter.tlsf,2,162819.0,100.0
amba_amba_decomposed_parametric_amba_decomposed_arbiter.tlsf,3,123368.0,100.0
amba_amba_decomposed_parametric_amba_decomposed_arbiter.tlsf,4,145971.0,100.0
amba_amba_decomposed_parametric_amba_decomposed_arbiter.tlsf,5,124865.0,100.0
amba_amba_decomposed_parametric_amba_decomposed_arbiter.tlsf,6,120704.0,99.9
amba_amba_decomposed_parametric_amba_decomposed_encode.tlsf,1,3624.0,100.0
