epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.647178,0.247167,0.000000,0.249450,0.000000
10,0.633458,0.459717,0.000000,0.476050,0.000000
20,0.618735,0.601739,0.000000,0.607550,0.000000
30,0.603099,0.633850,0.000000,0.637700,0.000000
40,0.586882,0.649661,0.000000,0.655100,0.000000
50,0.570061,0.687183,0.000556,0.693950,0.000000
60,0.552534,0.707211,0.000889,0.711550,0.000000
70,0.534273,0.718894,0.001778,0.722750,0.002000
80,0.515441,0.730961,0.002556,0.735950,0.001000
90,0.496186,0.750044,0.005444,0.754850,0.004000
100,0.476583,0.769606,0.009333,0.774250,0.010000
110,0.456772,0.796011,0.020333,0.800900,0.020000
120,0.437192,0.820100,0.045333,0.823750,0.056000
130,0.418702,0.842894,0.102111,0.847300,0.112000
140,0.402448,0.863111,0.202333,0.866700,0.205000
150,0.389237,0.864328,0.195778,0.866750,0.195000
160,0.378918,0.859322,0.160333,0.860650,0.155000
170,0.370634,0.857944,0.145333,0.859100,0.145000
180,0.363684,0.858083,0.145000,0.859550,0.142000
190,0.357678,0.859883,0.154000,0.861550,0.143000
200,0.352363,0.861783,0.164111,0.864750,0.160000
210,0.347563,0.863967,0.176667,0.867850,0.174000
220,0.343161,0.865594,0.186778,0.869350,0.183000
230,0.339076,0.866944,0.195333,0.870550,0.194000
240,0.335254,0.868306,0.202889,0.871800,0.208000
250,0.331655,0.869533,0.212778,0.872650,0.216000
260,0.328251,0.870567,0.219444,0.873850,0.227000
270,0.325022,0.871706,0.228778,0.875250,0.242000
280,0.321956,0.872961,0.240667,0.876250,0.249000
290,0.319039,0.873833,0.248778,0.877500,0.268000
300,0.316264,0.874544,0.255778,0.878050,0.275000
310,0.313622,0.875233,0.263222,0.878250,0.278000
320,0.311106,0.875661,0.268556,0.878650,0.282000
330,0.308713,0.876028,0.274111,0.879050,0.288000
340,0.306435,0.876361,0.280111,0.879550,0.294000
350,0.304270,0.876750,0.285333,0.879550,0.297000
360,0.302212,0.876950,0.288667,0.879650,0.301000
370,0.300256,0.877033,0.290667,0.879600,0.303000
380,0.298397,0.877061,0.292111,0.879700,0.306000
390,0.296630,0.877272,0.294111,0.880000,0.311000
400,0.294950,0.877389,0.295889,0.880000,0.311000
410,0.293351,0.877456,0.296667,0.880300,0.313000
420,0.291828,0.877556,0.297333,0.880450,0.315000
430,0.290377,0.877622,0.298333,0.880700,0.315000
440,0.288993,0.877600,0.298222,0.880600,0.314000
450,0.287671,0.877517,0.298222,0.880700,0.316000
460,0.286409,0.877583,0.298222,0.880950,0.316000
470,0.285202,0.877644,0.299000,0.881100,0.318000
480,0.284046,0.877628,0.299667,0.881150,0.317000
490,0.282938,0.877711,0.299556,0.881150,0.317000
499,0.281875,0.877800,0.300111,0.880950,0.317000
