epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.648382,0.493950,0.000111,0.464650,0.000000
10,0.634583,0.493850,0.000000,0.511550,0.000000
20,0.620331,0.646456,0.000000,0.647700,0.000000
30,0.605127,0.654544,0.000000,0.650650,0.000000
40,0.589233,0.656622,0.000000,0.656100,0.000000
50,0.572696,0.679722,0.000111,0.679150,0.000000
60,0.555464,0.697206,0.000111,0.698800,0.001000
70,0.537506,0.713850,0.001444,0.713250,0.001000
80,0.518937,0.733578,0.002333,0.734700,0.002000
90,0.499921,0.744972,0.003444,0.747100,0.003000
100,0.480538,0.761706,0.007111,0.766050,0.006000
110,0.460862,0.783839,0.015000,0.787800,0.013000
120,0.441165,0.810039,0.035889,0.816150,0.049000
130,0.422164,0.836500,0.079333,0.840500,0.089000
140,0.405046,0.859361,0.173000,0.860750,0.176000
150,0.390911,0.866761,0.212000,0.864600,0.207000
160,0.379964,0.863067,0.182889,0.860550,0.172000
170,0.371380,0.860161,0.161111,0.857750,0.154000
180,0.364274,0.859706,0.154778,0.857150,0.153000
190,0.358168,0.860733,0.159556,0.858350,0.155000
200,0.352783,0.861767,0.163778,0.859750,0.164000
210,0.347928,0.863344,0.172333,0.862000,0.173000
220,0.343481,0.864806,0.181222,0.862900,0.177000
230,0.339361,0.866289,0.190000,0.864700,0.189000
240,0.335509,0.867678,0.202000,0.865800,0.198000
250,0.331888,0.869106,0.213667,0.867200,0.207000
260,0.328469,0.870133,0.222222,0.869100,0.218000
270,0.325230,0.871250,0.230778,0.869700,0.225000
280,0.322158,0.872333,0.238111,0.870450,0.230000
290,0.319239,0.873456,0.248556,0.871050,0.237000
300,0.316463,0.874378,0.257000,0.872300,0.247000
310,0.313823,0.875061,0.263444,0.873050,0.254000
320,0.311311,0.875533,0.268556,0.873700,0.260000
330,0.308920,0.875978,0.274556,0.873950,0.263000
340,0.306645,0.876433,0.279444,0.874550,0.268000
350,0.304480,0.876794,0.283667,0.874850,0.273000
360,0.302420,0.877072,0.287222,0.875450,0.278000
370,0.300459,0.877300,0.289111,0.875750,0.281000
380,0.298592,0.877528,0.292111,0.875900,0.284000
390,0.296815,0.877667,0.293556,0.875850,0.284000
400,0.295121,0.877828,0.294778,0.875950,0.287000
410,0.293507,0.877950,0.296444,0.875850,0.286000
420,0.291969,0.878061,0.297667,0.876200,0.290000
430,0.290502,0.878044,0.298111,0.876300,0.293000
440,0.289102,0.878044,0.298667,0.876100,0.293000
450,0.287765,0.878050,0.299222,0.875900,0.293000
460,0.286489,0.878050,0.299222,0.875700,0.293000
470,0.285269,0.878050,0.298333,0.875800,0.293000
480,0.284104,0.878017,0.297667,0.876150,0.294000
490,0.282988,0.878067,0.298000,0.875950,0.294000
499,0.281921,0.878144,0.298444,0.875950,0.292000
