epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.659235,0.355972,0.000000,0.379150,0.000000
10,0.648922,0.607261,0.000333,0.614500,0.001000
20,0.637859,0.640100,0.000333,0.644900,0.000000
30,0.625781,0.649711,0.000556,0.655500,0.000000
40,0.612682,0.652900,0.000444,0.658250,0.000000
50,0.598504,0.651411,0.000222,0.657150,0.000000
60,0.583259,0.651928,0.000111,0.658700,0.001000
70,0.567037,0.656278,0.000111,0.662800,0.001000
80,0.549973,0.662872,0.000556,0.669950,0.002000
90,0.532160,0.677733,0.000778,0.684900,0.002000
100,0.513703,0.701772,0.003444,0.710400,0.004000
110,0.495005,0.733639,0.013000,0.742700,0.019000
120,0.477181,0.760550,0.036222,0.770600,0.048000
130,0.461949,0.768533,0.033444,0.773900,0.032000
140,0.450386,0.764956,0.021556,0.770650,0.029000
150,0.441820,0.766089,0.017000,0.772600,0.022000
160,0.434942,0.767206,0.017111,0.773700,0.023000
170,0.429092,0.769900,0.020222,0.776950,0.026000
180,0.423974,0.772467,0.021556,0.779200,0.026000
190,0.419399,0.774211,0.022667,0.781300,0.030000
200,0.415241,0.776339,0.024444,0.782950,0.032000
210,0.411423,0.778300,0.027333,0.784650,0.036000
220,0.407886,0.780061,0.029444,0.786200,0.039000
230,0.404587,0.781372,0.031333,0.788300,0.042000
240,0.401493,0.782733,0.032889,0.789250,0.043000
250,0.398576,0.784022,0.035667,0.790000,0.044000
260,0.395816,0.785322,0.037333,0.791050,0.045000
270,0.393196,0.786578,0.039111,0.792350,0.046000
280,0.390702,0.787511,0.040667,0.793500,0.047000
290,0.388325,0.788717,0.042444,0.794950,0.047000
300,0.386056,0.789794,0.044556,0.796000,0.051000
310,0.383888,0.790839,0.046111,0.797550,0.052000
320,0.381816,0.791600,0.048667,0.798400,0.055000
330,0.379834,0.792239,0.049333,0.799200,0.054000
340,0.377940,0.792911,0.050778,0.799550,0.056000
350,0.376127,0.793433,0.052000,0.800100,0.056000
360,0.374393,0.794017,0.052889,0.800400,0.060000
370,0.372733,0.794444,0.053778,0.801000,0.058000
380,0.371143,0.794817,0.054556,0.801950,0.059000
390,0.369618,0.795228,0.055667,0.802200,0.060000
400,0.368156,0.795550,0.056778,0.802150,0.062000
410,0.366752,0.795900,0.057111,0.802550,0.064000
420,0.365412,0.796233,0.057889,0.802650,0.065000
430,0.364130,0.796350,0.058444,0.802950,0.067000
440,0.362903,0.796544,0.058889,0.802850,0.067000
450,0.361727,0.796811,0.059111,0.803300,0.069000
460,0.360599,0.797017,0.059778,0.804100,0.071000
470,0.359516,0.797083,0.060333,0.804550,0.071000
480,0.358477,0.797117,0.060667,0.804650,0.072000
490,0.357480,0.797211,0.060667,0.804500,0.072000
499,0.356521,0.797211,0.061111,0.804700,0.073000
