epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.651515,0.317406,0.000000,0.306750,0.000000
10,0.638841,0.475700,0.000000,0.494300,0.000000
20,0.625364,0.593478,0.000000,0.600950,0.000000
30,0.610999,0.612433,0.000111,0.616350,0.000000
40,0.595935,0.639428,0.000000,0.643600,0.000000
50,0.580165,0.662856,0.000111,0.669150,0.001000
60,0.563628,0.687161,0.000333,0.690300,0.002000
70,0.546346,0.696961,0.000556,0.699850,0.001000
80,0.528464,0.703878,0.001111,0.704300,0.002000
90,0.510102,0.714272,0.002000,0.716400,0.003000
100,0.491303,0.735567,0.004000,0.736750,0.004000
110,0.472237,0.766628,0.012778,0.768250,0.020000
120,0.453487,0.792506,0.035889,0.793250,0.046000
130,0.436205,0.818911,0.093111,0.815100,0.106000
140,0.421725,0.827322,0.109778,0.820000,0.104000
150,0.410584,0.821850,0.072333,0.814950,0.062000
160,0.402064,0.818550,0.059111,0.811500,0.044000
170,0.395147,0.818622,0.057444,0.812100,0.044000
180,0.389279,0.820106,0.059000,0.814350,0.057000
190,0.384155,0.822106,0.064778,0.817450,0.066000
200,0.379569,0.823867,0.069556,0.818400,0.068000
210,0.375388,0.825661,0.075000,0.820000,0.076000
220,0.371527,0.827289,0.080333,0.821650,0.078000
230,0.367923,0.829850,0.088889,0.823350,0.084000
240,0.364535,0.831350,0.096222,0.826000,0.093000
250,0.361333,0.832656,0.102000,0.827900,0.100000
260,0.358295,0.833961,0.108778,0.829400,0.107000
270,0.355405,0.835078,0.116444,0.830400,0.110000
280,0.352652,0.836283,0.121222,0.831550,0.118000
290,0.350027,0.837339,0.126889,0.832400,0.123000
300,0.347524,0.837994,0.131111,0.833800,0.126000
310,0.345136,0.838489,0.135444,0.834450,0.131000
320,0.342858,0.838933,0.139778,0.835550,0.138000
330,0.340685,0.839422,0.143000,0.835800,0.140000
340,0.338611,0.839806,0.146333,0.835900,0.142000
350,0.336631,0.840300,0.150222,0.836100,0.145000
360,0.334742,0.840633,0.152667,0.836400,0.148000
370,0.332939,0.841033,0.155111,0.836900,0.155000
380,0.331218,0.841233,0.157000,0.837400,0.157000
390,0.329575,0.841656,0.160444,0.838050,0.162000
400,0.328007,0.841944,0.162889,0.838550,0.165000
410,0.326510,0.842322,0.164333,0.838550,0.166000
420,0.325082,0.842706,0.166111,0.839250,0.170000
430,0.323718,0.842867,0.166889,0.839850,0.173000
440,0.322416,0.843100,0.168111,0.840300,0.174000
450,0.321173,0.843289,0.169111,0.840600,0.176000
460,0.319986,0.843561,0.169889,0.840850,0.179000
470,0.318852,0.843844,0.170667,0.841050,0.179000
480,0.317767,0.843983,0.171556,0.841100,0.180000
490,0.316730,0.844306,0.172222,0.841400,0.182000
499,0.315738,0.844461,0.172444,0.841550,0.183000
