epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.6943926215171814,0.3617888888888889,0.0,0.3609,0.0
10,0.6760117411613464,0.2977888888888889,0.0,0.30055,0.0
20,0.6547735929489136,0.2977888888888889,0.0,0.30055,0.0
30,0.6471194624900818,0.2977888888888889,0.0,0.30055,0.0
40,0.6388084888458252,0.2977888888888889,0.0,0.30055,0.0
50,0.6286163330078125,0.2977888888888889,0.0,0.30055,0.0
60,0.6136617064476013,0.33269444444444446,0.0,0.33765,0.0
70,0.5931950807571411,0.4175888888888889,0.0,0.42645,0.0
80,0.5664584040641785,0.4986888888888889,0.0,0.5081,0.0
90,0.5435974597930908,0.5869833333333333,0.0,0.5946,0.0
100,0.5265060067176819,0.6285888888888889,0.00033333332976326346,0.63505,0.0
110,0.5140755772590637,0.6490833333333333,0.0006666666595265269,0.6528,0.0
120,0.5052016377449036,0.6612777777777777,0.0012222222285345197,0.663,0.0010000000474974513
130,0.4985991418361664,0.6659277777777778,0.000777777808252722,0.66745,0.0020000000949949026
140,0.49309805035591125,0.6709,0.0008888888987712562,0.6715,0.0020000000949949026
150,0.48808881640434265,0.6715777777777778,0.0008888888987712562,0.6743,0.0020000000949949026
160,0.48310068249702454,0.6789166666666666,0.0008888888987712562,0.6782,0.0020000000949949026
170,0.4777749180793762,0.6897888888888889,0.0012222222285345197,0.691,0.0010000000474974513
180,0.47181791067123413,0.6947888888888889,0.0013333333190530539,0.6954,0.0010000000474974513
190,0.46512317657470703,0.6970222222222222,0.001555555616505444,0.699,0.0010000000474974513
200,0.45778191089630127,0.6992222222222222,0.0020000000949949026,0.7006,0.003000000026077032
210,0.4502091705799103,0.7021333333333334,0.002888888819143176,0.70405,0.005000000353902578
220,0.4429927170276642,0.7009166666666666,0.004111111164093018,0.7035,0.007000000216066837
230,0.43622976541519165,0.70085,0.004888888914138079,0.7038,0.009000000543892384
240,0.4297126829624176,0.7037777777777777,0.005222222302109003,0.7076,0.00800000037997961
250,0.42338985204696655,0.7058277777777778,0.005777777638286352,0.7098,0.00800000037997961
260,0.41723984479904175,0.7095555555555556,0.006555555853992701,0.71375,0.007000000216066837
270,0.4112544655799866,0.7133111111111111,0.007000000216066837,0.71685,0.00800000037997961
280,0.405371755361557,0.7174555555555555,0.007666666526347399,0.72065,0.009000000543892384
290,0.3995189964771271,0.7221888888888889,0.00855555571615696,0.7265,0.01100000087171793
300,0.3937006890773773,0.7286166666666667,0.008888889104127884,0.7329,0.013000000268220901
310,0.3880605399608612,0.7370333333333333,0.01088888943195343,0.7422,0.014000000432133675
320,0.3827694356441498,0.74305,0.0141111109405756,0.7482,0.017000000923871994
330,0.37795159220695496,0.7489444444444444,0.01733333431184292,0.75365,0.018000001087784767
340,0.3736249506473541,0.7541555555555556,0.01944444514811039,0.7611,0.020000001415610313
350,0.369729220867157,0.7598777777777778,0.023222222924232483,0.76765,0.02500000037252903
360,0.366183340549469,0.7644222222222222,0.025888890027999878,0.773,0.027000000700354576
370,0.36289718747138977,0.7685888888888889,0.029777778312563896,0.7769,0.02800000086426735
380,0.35981255769729614,0.7727666666666667,0.033444445580244064,0.7801,0.030000001192092896
390,0.35688501596450806,0.7767277777777778,0.03722222149372101,0.78345,0.032999999821186066
400,0.35409215092658997,0.7789277777777778,0.0398888885974884,0.78585,0.03400000184774399
410,0.3514183461666107,0.7811,0.04233333468437195,0.78835,0.039000000804662704
420,0.3488718271255493,0.7830722222222222,0.04566666856408119,0.79015,0.04100000113248825
430,0.3464159369468689,0.7848722222222222,0.047555554658174515,0.7909,0.04400000348687172
440,0.34402740001678467,0.7865277777777778,0.050777778029441833,0.79275,0.04800000041723251
450,0.3416789174079895,0.7874333333333333,0.052444446831941605,0.79325,0.05000000074505806
460,0.3393283486366272,0.7880611111111111,0.054222222417593,0.794,0.05400000140070915
470,0.33692800998687744,0.7883055555555556,0.05533333495259285,0.79435,0.0560000017285347
480,0.33442503213882446,0.7880444444444444,0.054222222417593,0.79475,0.055000003427267075
490,0.33166149258613586,0.7866833333333333,0.053555555641651154,0.79295,0.05400000140070915
