epoch,loss,train_step_acc,train_trace_acc,test_step_acc,test_trace_acc
0,0.690547525882721,0.32393333333333335,0.0,0.32572,0.0
50,0.6395443081855774,0.29227333333333333,0.0,0.291,0.0
100,0.5524042844772339,0.5485666666666666,0.0,0.5662,0.0
150,0.49806228280067444,0.6673044444444445,0.0,0.67102,0.0
200,0.47072893381118774,0.6859666666666666,0.0,0.6903,0.0
250,0.45165982842445374,0.6956977777777777,0.0,0.69934,0.0
300,0.42913997173309326,0.7064222222222222,0.0,0.70888,0.0
350,0.40210992097854614,0.748,0.00011111111234640703,0.74834,0.0
400,0.38391363620758057,0.7664888888888889,0.0004444444493856281,0.7666,0.0
450,0.3700622022151947,0.7790822222222222,0.0008888888987712562,0.77928,0.0010000000474974513
